id,kind,date,title,url,categories,words,seo_title_len,desc_len,missing_desc,noindex,thin(<300)
89081,post,2025-10-27,Soalan Bahasa Melayu Tahun 4: Pemahaman dan Karangan,https://kitamen.my/2025/10/27/soalan-bahasa-melayu-tahun-4-pemahaman-dan-karangan/,Education &amp; Youth,670,84,0,YES,,
89076,post,2025-10-22,Malaysia Esports Calendar 2025 – Full Tournament Schedule,https://kitamen.my/2025/10/22/malaysia-esports-calendar-2025-full-tournament-schedule/,Event Management; Industry Insights,446,89,0,YES,,
89045,post,2025-10-22,Sponsor Playbook Malaysia 2025 — How to Buy Esports Safely,https://kitamen.my/2025/10/22/sponsor-playbook-malaysia-2025-how-to-buy-esports-safely/,Government &amp; Institution; Industry Insights,389,90,0,YES,,
89042,post,2025-10-22,Soalan Sains Tahun 5: Topik Tenaga dan Alam Sekitar (KSSR Semakan 2025),https://kitamen.my/2025/10/22/soalan-sains-tahun-5-topik-tenaga-dan-alam-sekitar-kssr-semakan-2025/,Education &amp; Youth,666,103,0,YES,,
89034,post,2025-10-22,Contoh Soalan Matematik Tahun 6 (KSSR Semakan 2025),https://kitamen.my/2025/10/22/contoh-soalan-matematik-tahun-6-kssr-semakan-2025/,Education &amp; Youth; Tech &amp; Innovation,637,83,0,YES,,
89030,post,2025-10-22,Bank Soalan AI Malaysia 2025: Latihan Peperiksaan Digital Untuk Semua Murid,https://kitamen.my/2025/10/22/bank-soalan-ai-malaysia-2025-latihan-peperiksaan-digital-untuk-semua-murid/,Community FAQs; Tech &amp; Innovation,741,107,0,YES,,
89026,post,2025-10-22,Sekolah Tanpa Kertas: Transformasi Digital Dengan Edventure+,https://kitamen.my/2025/10/22/sekolah-tanpa-kertas-transformasi-digital-dengan-edventure/,Tech &amp; Innovation,700,92,0,YES,,
89022,post,2025-10-22,Bagaimana Guru Gunakan Edventure+ Dalam Bilik Darjah Digital,https://kitamen.my/2025/10/22/bagaimana-guru-gunakan-edventure-dalam-bilik-darjah-digital/,Tech &amp; Innovation,663,92,0,YES,,
89018,post,2025-10-22,Cara Elak Anak Bosan Belajar: Gunakan Sistem Ganjaran Digital Edventure+,https://kitamen.my/2025/10/22/cara-elak-anak-bosan-belajar-gunakan-sistem-ganjaran-digital-edventure/,Tech &amp; Innovation,723,104,0,YES,,
89014,post,2025-10-22,Bagaimana Bantu Anak Lemah Matematik di Rumah Dengan Aplikasi AI,https://kitamen.my/2025/10/22/bagaimana-bantu-anak-lemah-matematik-di-rumah-dengan-aplikasi-ai/,Gamers &amp; Community; Tech &amp; Innovation,688,96,0,YES,,
89009,post,2025-10-22,Edventure+ Tournaments: Bila Esukan Menjadi Alat Pembelajaran Untuk Generasi Baharu,https://kitamen.my/2025/10/22/edventure-tournaments-bila-esukan-menjadi-alat-pembelajaran-untuk-generasi-baharu/,Tech &amp; Innovation,613,115,0,YES,,
89005,post,2025-10-22,Gamifikasi Dalam Pembelajaran: Kenapa Kanak-Kanak Lebih Seronok Belajar Dengan Edventure+,https://kitamen.my/2025/10/22/gamifikasi-dalam-pembelajaran-kenapa-kanak-kanak-lebih-seronok-belajar-dengan-edventure/,Tech &amp; Innovation,687,121,0,YES,,
89001,post,2025-10-22,Bagaimana AI Membantu Anak Belajar Lebih Cepat Dengan Edventure+,https://kitamen.my/2025/10/22/bagaimana-ai-membantu-anak-belajar-lebih-cepat-dengan-edventure/,Tech &amp; Innovation,729,96,0,YES,,
88997,post,2025-10-22,Buku Latihan Digital vs Fizikal: Bagaimana Ibu Bapa Jimat Hingga RM500 Setahun,https://kitamen.my/2025/10/22/buku-latihan-digital-vs-fizikal-bagaimana-ibu-bapa-jimat-hingga-rm500-setahun/,Tech &amp; Innovation,632,110,0,YES,,
88993,post,2025-10-22,Apa Itu Edventure+: Revolusi Buku Latihan Digital Malaysia,https://kitamen.my/2025/10/22/apa-itu-edventure-revolusi-buku-latihan-digital-malaysia/,Tech &amp; Innovation,748,90,0,YES,,
88989,post,2025-10-22,What Is Edventure+: Malaysia’s Digital Workbook Revolution,https://kitamen.my/2025/10/22/what-is-edventure-malaysias-digital-workbook-revolution/,Tech &amp; Innovation,769,90,0,YES,,
88985,post,2025-10-22,Pakej Penaja Esukan Malaysia 2025,https://kitamen.my/2025/10/22/pakej-penaja-esukan-malaysia-2025/,Industry Insights,660,65,0,YES,,
89064,page,2025-10-22,Malaysia Esports Live Verified Events,https://kitamen.my/malaysia-esports-verified-events/,,2,37,122,,,
88982,post,2025-10-21,Esports Talent Ops: The Professional Casting & Broadcast Handbook,https://kitamen.my/2025/10/21/esports-talent-ops-the-professional-casting-broadcast-handbook/,Industry Insights; Players &amp; Talent,797,97,0,YES,,
88979,post,2025-10-21,University & Campus Esports Framework 2025: From Clubs to Certified Circuits,https://kitamen.my/2025/10/21/university-campus-esports-framework-2025-from-clubs-to-certified-circuits/,Education &amp; Youth,714,108,0,YES,,
88976,post,2025-10-21,Sponsor Playbook 2025: How to Buy Esports Safely in Malaysia,https://kitamen.my/2025/10/21/sponsor-playbook-2025-how-to-buy-esports-safely-in-malaysia/,Industry Insights,676,92,0,YES,,
88973,post,2025-10-21,Why Malaysia’s Esports Industry Needs a Unified Calendar,https://kitamen.my/2025/10/21/why-malaysias-esports-industry-needs-a-unified-calendar/,Community FAQs; Government &amp; Institution; Industry Insights,841,88,0,YES,,
88970,post,2025-10-21,The New Standard of Professionalism in Malaysian Esports — From Passion to Process,https://kitamen.my/2025/10/21/the-new-standard-of-professionalism-in-malaysian-esports-from-passion-to-process/,Industry Insights,765,114,0,YES,,
88966,post,2025-10-21,Malaysia’s Esports Verification Network — Why Central Matters More Than Memberships,https://kitamen.my/2025/10/21/malaysias-esports-verification-network-why-central-matters-more-than-memberships/,Government &amp; Institution; Industry Insights,801,115,0,YES,,
88963,post,2025-10-21,How to Register and Legalise Your Esports Event in Malaysia (2025 Guide),https://kitamen.my/2025/10/21/how-to-register-and-legalise-your-esports-event-in-malaysia-2025-guide/,Industry Insights,870,104,0,YES,,
88960,post,2025-10-21,How EsportsCentral.my Standardises Malaysia’s Event Ecosystem,https://kitamen.my/2025/10/21/how-esportscentral-my-standardises-malaysias-event-ecosystem/,Industry Insights,772,93,0,YES,,
88957,post,2025-10-21,The Real Drivers of Malaysia’s Esports Growth — Beyond Federations,https://kitamen.my/2025/10/21/the-real-drivers-of-malaysias-esports-growth-beyond-federations/,Industry Insights,802,98,0,YES,,
88954,post,2025-10-21,Malaysia’s Esports Governance Landscape 2025 — Who Really Builds the Future,https://kitamen.my/2025/10/21/malaysias-esports-governance-landscape-2025-who-really-builds-the-future/,Industry Insights,905,107,0,YES,,
88951,post,2025-10-18,Revolusi AI dalam Esukan Malaysia 2025 — Dari Operasi ke Inovasi,https://kitamen.my/2025/10/18/revolusi-ai-dalam-esukan-malaysia-2025-dari-operasi-ke-inovasi/,Industry Insights,750,96,0,YES,,
88948,post,2025-10-18,Building the AI Stack for Esports Malaysia — A Roadmap for 2026,https://kitamen.my/2025/10/18/building-the-ai-stack-for-esports-malaysia-a-roadmap-for-2026/,Industry Insights,872,95,0,YES,,
88945,post,2025-10-18,AI Revolution in Malaysian Esports 2025 — From Operations to Innovation,https://kitamen.my/2025/10/18/ai-revolution-in-malaysian-esports-2025-from-operations-to-innovation/,Government &amp; Institution,769,103,0,YES,,
88942,post,2025-10-18,Krisis Acara Esukan Malaysia 2025: Bila Poster Ganti Perancangan,https://kitamen.my/2025/10/18/krisis-acara-esukan-malaysia-2025-bila-poster-ganti-perancangan/,Industry Insights,621,96,0,YES,,
88939,post,2025-10-18,Membaiki Rantaian Acara Esukan Malaysia 2025: Dari Poster ke Polisi,https://kitamen.my/2025/10/18/membaiki-rantaian-acara-esukan-malaysia-2025-dari-poster-ke-polisi/,Industry Insights,781,99,0,YES,,
88936,post,2025-10-18,Fixing the Esports Event Pipeline: From Poster to Policy (Malaysia 2025),https://kitamen.my/2025/10/18/fixing-the-esports-event-pipeline-from-poster-to-policy-malaysia-2025/,Industry Insights,800,104,0,YES,,
88933,post,2025-10-18,Malaysia’s Esports Event Crisis: When Posters Replace Planning,https://kitamen.my/2025/10/18/malaysias-esports-event-crisis-when-posters-replace-planning/,Industry Insights,657,94,0,YES,,
88923,post,2025-10-15,The complete history of Malaysia Esports Federation (MESF),https://kitamen.my/2025/10/15/malaysia-esports-federation-mesf-history/,Uncategorized,2,55,133,,,YES
88920,post,2025-10-15,Central Esports Malaysia 2025 — Official Overview,https://kitamen.my/2025/10/15/central-esports-malaysia-2025-official-overview/,Industry Insights,546,81,0,YES,,
88917,post,2025-10-15,"Malaysia’s Esports Data Index 2025 — Growth, Viewership & Economy",https://kitamen.my/2025/10/15/malaysias-esports-data-index-2025-growth-viewership-economy/,Industry Insights,651,97,0,YES,,
88914,post,2025-10-15,Esports Education & Career Pathways in Malaysia (2025 Guide),https://kitamen.my/2025/10/15/esports-education-career-pathways-in-malaysia-2025-guide/,Education &amp; Youth; Industry Insights,664,92,0,YES,,
88911,post,2025-10-15,The Malaysia Esports Blueprint in Action: From Policy to Practice,https://kitamen.my/2025/10/15/the-malaysia-esports-blueprint-in-action-from-policy-to-practice/,Government &amp; Institution; Industry Insights,625,97,0,YES,,
88908,post,2025-10-15,Flava Farouq × KITAMEN — Redefining Malaysia’s Esports Future,https://kitamen.my/2025/10/15/flava-farouq-x-kitamen-redefining-malaysias-esports-future/,Industry Insights,553,93,0,YES,,
88905,post,2025-10-15,Central Esports 2025 — Malaysia’s Digital Backbone for the Esports Ecosystem,https://kitamen.my/2025/10/15/central-esports-2025-malaysias-digital-backbone-for-the-esports-ecosystem/,Industry Insights,468,108,0,YES,,
88902,post,2025-10-15,Central Esports 2025 — Platform Baharu Mempersatukan Ekosistem Esukan Malaysia,https://kitamen.my/2025/10/15/central-esports-2025-platform-baharu-mempersatukan-ekosistem-esukan-malaysia/,Government &amp; Institution; Industry Insights,538,110,0,YES,,
88899,post,2025-10-14,CENTRAL 2025 Knowledge Index — KITAMEN × EsportsCentral.my,https://kitamen.my/2025/10/14/central-2025-knowledge-index-kitamen-x-esportscentral-my/,Industry Insights,273,90,0,YES,,YES
88896,post,2025-10-14,Membina Ekosistem Esukan Malaysia 2025: Dari Data ke Tindakan,https://kitamen.my/2025/10/14/membina-ekosistem-esukan-malaysia-2025-dari-data-ke-tindakan/,Industry Insights,693,93,0,YES,,
88893,post,2025-10-14,"Fasiliti Esukan Malaysia 2025: Arena, Studio & Pusat Latihan Bersijil di CENTRAL",https://kitamen.my/2025/10/14/fasiliti-esukan-malaysia-2025-arena-studio-pusat-latihan-bersijil-di-central/,Community FAQs; Gamers &amp; Community; Government &amp; Institution,908,112,0,YES,,
88890,post,2025-10-14,Kerjaya Esukan Malaysia 2025: Direktori & Peluang dari CENTRAL,https://kitamen.my/2025/10/14/kerjaya-esukan-malaysia-2025-direktori-peluang-dari-central/,Community FAQs; Education &amp; Youth; Government &amp; Institution; Industry Insights,766,94,0,YES,,
88887,post,2025-10-14,Lesen & Garis Panduan Esukan Malaysia 2025: Panduan Lengkap dari CENTRAL,https://kitamen.my/2025/10/14/lesen-garis-panduan-esukan-malaysia-2025-panduan-lengkap-dari-central/,Esports; Event Management; Government &amp; Institution; Industry Insights,832,104,0,YES,,
88884,post,2025-10-14,"Pendidikan Esukan Malaysia 2025: Inisiatif, Akademi & Kursus Disusun di CENTRAL",https://kitamen.my/2025/10/14/pendidikan-esukan-malaysia-2025-inisiatif-akademi-kursus-disusun-di-central/,Education &amp; Youth; Government &amp; Institution; Industry Insights,740,111,0,YES,,
88881,post,2025-10-14,Kalender Esukan Malaysia 2025: Cara CENTRAL Menyusun Ekosistem Acara Negara,https://kitamen.my/2025/10/14/kalender-esukan-malaysia-2025-cara-central-menyusun-ekosistem-acara-negara/,Education &amp; Youth; Event Management; Gamers &amp; Community; Government &amp; Institution; Industry Insights,770,107,0,YES,,
88878,post,2025-10-14,CENTRAL: Arkib Baharu Esukan Malaysia 2025 — Dari Komuniti ke Infrastruktur Digital,https://kitamen.my/2025/10/14/central-arkib-baharu-esukan-malaysia-2025-dari-komuniti-ke-infrastruktur-digital/,Government &amp; Institution; Industry Insights; Tech &amp; Innovation,794,115,0,YES,,
88875,post,2025-10-14,"Templat Laporan Pasca-Acara Esukan Malaysia (2025): KPI, Metodologi & Contoh Isi",https://kitamen.my/2025/10/14/templat-laporan-pasca-acara-esukan-malaysia-2025-kpi-metodologi-contoh-isi/,Community FAQs; Event Management; Government &amp; Institution,761,112,0,YES,,
88872,post,2025-10-14,"Indeks Esukan Malaysia 2025: Mengukur Pertumbuhan, Penonton & Ekonomi Digital",https://kitamen.my/2025/10/14/indeks-esukan-malaysia-2025-mengukur-pertumbuhan-penonton-ekonomi-digital/,Esports; Government &amp; Institution,732,109,0,YES,,
88869,post,2025-10-14,Blueprint Media & Komuniti Esukan Malaysia 2025: Rangka Strategi Kolaboratif Nasional,https://kitamen.my/2025/10/14/blueprint-media-komuniti-esukan-malaysia-2025-rangka-strategi-kolaboratif-nasional/,Government &amp; Institution; Media,949,117,0,YES,,
88866,post,2025-10-14,Media Esukan Malaysia: Dari Liputan ke Kepimpinan Industri (2025),https://kitamen.my/2025/10/14/media-esukan-malaysia-dari-liputan-ke-kepimpinan-industri-2025/,Media,701,97,0,YES,,
88863,post,2025-10-14,Ekosistem Esukan Terbuka: Bagaimana Media & Komuniti Menggerakkan Malaysia (2025),https://kitamen.my/2025/10/14/ekosistem-esukan-terbuka-bagaimana-media-komuniti-menggerakkan-malaysia-2025/,Players &amp; Talent,757,113,0,YES,,
88860,post,2025-10-14,Visi Esukan Flava: Kenapa Malaysia Perlukan Naratif Baru (2025),https://kitamen.my/2025/10/14/visi-esukan-flava-kenapa-malaysia-perlukan-naratif-baru-2025/,Players &amp; Talent,755,95,0,YES,,
88857,post,2025-10-14,Profil Flava Farouq: Dari Host ke Penggerak Industri Esukan Malaysia (2025),https://kitamen.my/2025/10/14/profil-flava-farouq-dari-host-ke-penggerak-industri-esukan-malaysia-2025/,Players &amp; Talent,702,107,0,YES,,
88854,post,2025-10-14,Krisis Tadbir Urus Esukan Malaysia: Analisis Struktur & Kesan (2025),https://kitamen.my/2025/10/14/krisis-tadbir-urus-esukan-malaysia-analisis-struktur-kesan-2025/,Government &amp; Institution,763,100,0,YES,,
88847,page,2025-09-11,Proposal UDA,https://kitamen.my/proposal-uda/,,2,44,0,YES,,
88839,post,2025-09-01,Top Sports & Esports Event Companies in Malaysia (2025),https://kitamen.my/2025/09/01/top-sports-esports-event-companies-in-malaysia-2025/,Event Management,595,87,0,YES,,
88845,page,2025-09-01,Broadcast & Livestream Services,https://kitamen.my/broadcast-livestream-services/,,619,63,0,YES,,
88842,page,2025-09-01,Sports & Esports Event Management in Malaysia,https://kitamen.my/sports-esports-event-management-in-malaysia/,,579,77,0,YES,,
88837,page,2025-09-01,Esports in Malaysia needs structure over spectacle. This is our roadmap — and our line in the sand.,https://kitamen.my/manifesto/,,656,131,0,YES,,
88832,post,2025-08-31,Esports Tournament Organizer in Malaysia 2025: Building the Future of Competitive Gaming,https://kitamen.my/2025/08/31/esports-tournament-organizer-in-malaysia-2025-building-the-future-of-competitive-gaming/,Event Management; Industry Insights; Players &amp; Talent,581,120,0,YES,,
88829,post,2025-08-31,Esports Content Creator & Journalist in Malaysia 2025: Voices That Shape the Scene,https://kitamen.my/2025/08/31/esports-content-creator-journalist-in-malaysia-2025-voices-that-shape-the-scene/,Gamers &amp; Community; Players &amp; Talent,508,114,0,YES,,
88826,post,2025-08-31,Esports Team Manager in Malaysia 2025: The People Who Keep the Players Performing,https://kitamen.my/2025/08/31/esports-team-manager-in-malaysia-2025-the-people-who-keep-the-players-performing/,Industry Insights; Players &amp; Talent,534,113,0,YES,,
88823,post,2025-08-31,"Esports Social Media & Marketing Specialist in Malaysia 2025: Growing Fans, Brands, and Teams",https://kitamen.my/2025/08/31/esports-social-media-marketing-specialist-in-malaysia-2025-growing-fans-brands-and-teams/,Event Management; Players &amp; Talent; Tech &amp; Innovation,567,125,0,YES,,
88820,post,2025-08-31,Esports Event Manager in Malaysia 2025: The Backbone of Every Tournament,https://kitamen.my/2025/08/31/esports-event-manager-in-malaysia-2025-the-backbone-of-every-tournament/,Event Management; Tech &amp; Innovation,496,104,0,YES,,
88817,post,2025-08-31,Esports Referee & Admin in Malaysia 2025: The Silent Guardians of Fair Play,https://kitamen.my/2025/08/31/esports-referee-admin-in-malaysia-2025-the-silent-guardians-of-fair-play/,Event Management; Players &amp; Talent,556,107,0,YES,,
88814,post,2025-08-31,Broadcast Producer in Malaysian Esports 2025: The Orchestrators Behind the Screen,https://kitamen.my/2025/08/31/broadcast-producer-in-malaysian-esports-2025-the-orchestrators-behind-the-screen/,Esports; Event Management; Tech &amp; Innovation,559,113,0,YES,,
88788,post,2025-08-21,Transform or Forfeit ASEAN Leadership,https://kitamen.my/2025/08/21/transform-or-forfeit-asean-leadership/,Education &amp; Youth; Esports; Government &amp; Institution; Industry Insights,3,69,0,YES,,YES
88785,post,2025-08-21,How Malaysia Mistakes Activity for Progress in Esports,https://kitamen.my/2025/08/21/how-malaysia-mistakes-activity-for-progress-in-esports/,Education &amp; Youth; Esports; Government &amp; Institution; Industry Insights,3,86,0,YES,,YES
88781,post,2025-08-21,The Hidden Cost of Undervaluing Esports in Malaysia,https://kitamen.my/2025/08/21/the-hidden-cost-of-undervaluing-esports-in-malaysia/,Government &amp; Institution; Industry Insights,3,83,0,YES,,YES
88776,post,2025-08-21,How Malaysia Chooses Failure in Esports,https://kitamen.my/2025/08/21/how-malaysia-chooses-failure-in-esports/,Uncategorized,3,71,0,YES,,YES
88773,post,2025-08-21,How Malaysia Mistakes Entertainment for Infrastructure,https://kitamen.my/2025/08/21/carnivals-at-the-national-stage/,Government &amp; Institution; Industry Insights,3,86,0,YES,,YES
88791,page,2025-08-21,Malaysia Esports Alternate Universe,https://kitamen.my/esportsalternate/,,3,67,0,YES,,
88767,post,2025-08-20,Malaysia’s Esports Betrayal,https://kitamen.my/2025/08/20/malaysias-esports-betrayal/,Government &amp; Institution; Industry Insights,3,59,0,YES,,YES
88763,post,2025-08-19,PlayPod Lite for TMG – Proposal 19-8-2025,https://kitamen.my/2025/08/19/playpod-tmg/,Uncategorized,2,73,0,YES,,YES
88755,post,2025-08-19,TGV Pilot Impact Report,https://kitamen.my/2025/08/19/tgv-pilot-impact-report/,Uncategorized,2,55,0,YES,,YES
88728,post,2025-08-16,Behind the Scenes: How Kitamen Powers the Cultural Infrastructure Inside TGV Cinemas,https://kitamen.my/2025/08/16/behind-the-scenes-how-kitamen-powers-the-cultural-infrastructure-inside-tgv-cinemas/,Brands &amp; Sponsors; Event Management; Gamers &amp; Community,717,116,0,YES,,
88725,post,2025-08-16,From Watchers to Creators: How TGV is Tapping Malaysia’s Creator Economy Inside Cinemas,https://kitamen.my/2025/08/16/from-watchers-to-creators-how-tgv-is-tapping-malaysias-creator-economy-inside-cinemas/,Brands &amp; Sponsors,692,119,0,YES,,
88722,post,2025-08-16,"How IP Owners Can Launch Across Film, Game, and Merch — All Inside a Cinema",https://kitamen.my/2025/08/16/how-ip-owners-can-launch-across-film-game-and-merch-all-inside-a-cinema/,Brands &amp; Sponsors; Event Management; Gamers &amp; Community,763,107,0,YES,,
88719,post,2025-08-16,KLCC is Next: How TGV is Scaling Cultureplexes Across Malaysia,https://kitamen.my/2025/08/16/klcc-is-next-how-tgv-is-scaling-cultureplexes-across-malaysia/,Brands &amp; Sponsors; Gamers &amp; Community,740,94,0,YES,,
88716,post,2025-08-16,PlayPod: How Permanent Gaming Hubs Are Redefining Cinemas in Malaysia,https://kitamen.my/2025/08/16/playpod-how-permanent-gaming-hubs-are-redefining-cinemas-in-malaysia/,Brands &amp; Sponsors; Community FAQs; Event Management; Gamers &amp; Community,769,101,0,YES,,
88707,post,2025-08-16,TGV: Reimagining the Cinema as Malaysia’s Cultural Epicenter,https://kitamen.my/2025/08/16/tgv-reimagining-the-cinema-as-malaysias-cultural-epicenter/,Brands &amp; Sponsors; Community FAQs; Education &amp; Youth; Event Management; Gamers &amp; Community; Industry Insights,854,92,0,YES,,
88704,post,2025-08-16,"Esports Salaries in Malaysia 2025: How Much Do Players, Casters, and Coaches Earn?",https://kitamen.my/2025/08/16/esports-salaries-in-malaysia-2025-how-much-do-players-casters-and-coaches-earn/,Community FAQs; Event Management; Industry Insights; Players &amp; Talent,566,114,0,YES,,
88698,post,2025-08-16,Esports Coach in Malaysia 2025: The Strategists Behind Every Victory,https://kitamen.my/2025/08/16/esports-coach-in-malaysia-2025-the-strategists-behind-every-victory/,Education &amp; Youth; Gamers &amp; Community; Industry Insights,635,100,0,YES,,
88693,post,2025-08-11,Esports Analyst: The Data-Driven Minds of Malaysian Esports (2025),https://kitamen.my/2025/08/11/esports-analyst-the-data-driven-minds-of-malaysian-esports-2025/,Community FAQs; Education &amp; Youth; Players &amp; Talent; Tech &amp; Innovation,663,98,0,YES,,
88687,post,2025-08-11,Pro Player: Malaysia’s Path to Esports Stardom in 2025,https://kitamen.my/2025/08/11/pro-player-malaysias-path-to-esports-stardom-in-2025/,Community FAQs; Gamers &amp; Community; Industry Insights; Players &amp; Talent,563,86,0,YES,,
